name,iptm,ptm,fraction_disordered,ranking_score,chain_iptm,chain_pair_iptm,chain_ptm
nhaas.8,0.2,0.57,0.03,0.29,"[0.2, 0.2]","[[0.83, 0.2], [0.2, 0.7]]","[0.83, 0.7]"
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_98_iter_184,0.86,0.78,0.02,0.85,"[0.86, 0.86]","[[0.86, 0.86], [0.86, 0.75]]","[0.86, 0.75]"
tarkhov.andrey.erithacus_rubecula_gigantus_8,0.17,0.58,0.05,0.28,"[0.17, 0.17]","[[0.33, 0.17], [0.17, 0.71]]","[0.33, 0.71]"
cameron.kroll.gertrude_gen6,0.17,0.59,0.02,0.26,"[0.17, 0.17]","[[0.81, 0.17], [0.17, 0.68]]","[0.81, 0.68]"
akash.arunabharathi.design10,0.19,0.7,0.02,0.3,"[0.19, 0.19]","[[0.3, 0.19], [0.19, 0.73]]","[0.3, 0.73]"
joaosartori2.c3,0.84,0.77,0.03,0.84,"[0.84, 0.84]","[[0.6, 0.84], [0.84, 0.76]]","[0.6, 0.76]"
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn2,0.83,0.75,0.02,0.82,"[0.83, 0.83]","[[0.75, 0.83], [0.83, 0.73]]","[0.75, 0.73]"
chenceshi1105.steven_binder_design_l75_s60968_it100_mpnn0,0.9,0.75,0.02,0.88,"[0.9, 0.9]","[[0.78, 0.9], [0.9, 0.74]]","[0.78, 0.74]"
amirm.mhosseini.seq1,0.88,0.76,0.05,0.88,"[0.88, 0.88]","[[0.65, 0.88], [0.88, 0.74]]","[0.65, 0.74]"
alejandro.corrochano-navarro.eng_scfv_binder_2,0.8,0.77,0.03,0.81,"[0.8, 0.8]","[[0.86, 0.8], [0.8, 0.76]]","[0.86, 0.76]"
flowuenne.nf-proteindesign_design8,0.19,0.7,0.03,0.31,"[0.19, 0.19]","[[0.34, 0.19], [0.19, 0.74]]","[0.34, 0.74]"
colby.tupegfr_012___anti-egfr_fv-like_protein_diffused_with_evodiff,0.18,0.58,0.04,0.28,"[0.18, 0.18]","[[0.34, 0.18], [0.18, 0.72]]","[0.34, 0.72]"
s1995825.timed_egf_netsolp_usability_consensus_2,0.86,0.72,0.02,0.84,"[0.86, 0.86]","[[0.65, 0.86], [0.86, 0.71]]","[0.65, 0.71]"
paulafcfranklin.synth_rosetta_2,0.92,0.74,0.03,0.9,"[0.92, 0.92]","[[0.65, 0.92], [0.92, 0.72]]","[0.65, 0.72]"
reed.harrison.model_56_119_0,0.94,0.78,0.02,0.92,"[0.94, 0.94]","[[0.81, 0.94], [0.94, 0.76]]","[0.81, 0.76]"
noah.holzleitner.noah_egfr-binder_1,0.93,0.78,0.02,0.91,"[0.93, 0.93]","[[0.73, 0.93], [0.93, 0.77]]","[0.73, 0.77]"
chrisxushaoyong.hu_nano2_2_7ef96e,0.44,0.69,0.02,0.5,"[0.44, 0.44]","[[0.8, 0.44], [0.44, 0.74]]","[0.8, 0.74]"
minji.lee.3995,0.52,0.69,0.02,0.56,"[0.52, 0.52]","[[0.68, 0.52], [0.52, 0.72]]","[0.68, 0.72]"
cameron.kroll.gertrude_gen3,0.9,0.77,0.02,0.88,"[0.9, 0.9]","[[0.85, 0.9], [0.9, 0.73]]","[0.85, 0.73]"
markus.braun.egfr_binder_1,0.94,0.81,0.01,0.92,"[0.94, 0.94]","[[0.91, 0.94], [0.94, 0.74]]","[0.91, 0.74]"
amirmhosseini47.mohammad_seq2,0.82,0.75,0.06,0.83,"[0.82, 0.82]","[[0.61, 0.82], [0.82, 0.73]]","[0.61, 0.73]"
elian.elian3,0.92,0.79,0.02,0.9,"[0.92, 0.92]","[[0.76, 0.92], [0.92, 0.76]]","[0.76, 0.76]"
revoli.mutated_nab_9,0.12,0.63,0.02,0.23,"[0.12, 0.12]","[[0.85, 0.12], [0.12, 0.71]]","[0.85, 0.71]"
niklas.ee4629a9-322f-48f0-884d-8f4418db9bce_l151_s241659642_mpnn11,0.66,0.56,0.02,0.65,"[0.66, 0.66]","[[0.86, 0.66], [0.66, 0.53]]","[0.86, 0.53]"
flowuenne.nf-proteindesign_design10,0.21,0.7,0.02,0.32,"[0.21, 0.21]","[[0.64, 0.21], [0.21, 0.74]]","[0.64, 0.74]"
nitesh.mishra3.stepwise_rfdiff_egfr_binder_1,0.85,0.76,0.02,0.84,"[0.85, 0.85]","[[0.6, 0.85], [0.85, 0.76]]","[0.6, 0.76]"
a.tucs.andrejs_tucs_seq5,0.91,0.76,0.02,0.89,"[0.91, 0.91]","[[0.66, 0.91], [0.91, 0.74]]","[0.66, 0.74]"
alejandro.corrochano-navarro.eng_scfv_binder_1,0.81,0.77,0.03,0.82,"[0.81, 0.81]","[[0.86, 0.81], [0.81, 0.75]]","[0.86, 0.75]"
binom16.pocket3pep98,0.74,0.78,0.04,0.77,"[0.74, 0.74]","[[0.18, 0.74], [0.74, 0.78]]","[0.18, 0.78]"
lyu.1,0.88,0.77,0.02,0.87,"[0.88, 0.88]","[[0.72, 0.88], [0.88, 0.76]]","[0.72, 0.76]"
mlange05.c,0.14,0.59,0.01,0.24,"[0.14, 0.14]","[[0.68, 0.14], [0.14, 0.71]]","[0.68, 0.71]"
aswini.seed1_1,0.21,0.72,0.02,0.32,"[0.21, 0.21]","[[0.31, 0.21], [0.21, 0.75]]","[0.31, 0.75]"
junhee.park1999.egfr_binder_7,0.74,0.73,0.04,0.75,"[0.74, 0.74]","[[0.84, 0.74], [0.74, 0.73]]","[0.84, 0.73]"
julian.faust.pimurutamabxbecotatug_scfv,0.86,0.79,0.04,0.87,"[0.86, 0.86]","[[0.84, 0.86], [0.86, 0.75]]","[0.84, 0.75]"
round1zeroshot.k5q_n70s_k71r_n73t_s87t_n88d_r179k_k183r_e213d_s214p,0.89,0.8,0.03,0.88,"[0.89, 0.89]","[[0.87, 0.89], [0.89, 0.76]]","[0.87, 0.76]"
julie.rj0aa,0.35,0.69,0.02,0.42,"[0.35, 0.35]","[[0.73, 0.35], [0.35, 0.72]]","[0.73, 0.72]"
amirm.mhosseini.seq3,0.86,0.75,0.02,0.85,"[0.86, 0.86]","[[0.62, 0.86], [0.86, 0.73]]","[0.62, 0.73]"
qilin_y.test4,0.13,0.66,0.02,0.25,"[0.13, 0.13]","[[0.65, 0.13], [0.13, 0.71]]","[0.65, 0.71]"
jvogt4.vogt_scfv_2470,0.31,0.58,0.03,0.38,"[0.31, 0.31]","[[0.85, 0.31], [0.31, 0.69]]","[0.85, 0.69]"
akash.arunabharathi.design3,0.19,0.72,0.04,0.31,"[0.19, 0.19]","[[0.29, 0.19], [0.19, 0.75]]","[0.29, 0.75]"
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn19,0.87,0.76,0.02,0.86,"[0.87, 0.87]","[[0.74, 0.87], [0.87, 0.73]]","[0.74, 0.73]"
markus.braun.egfr_binder_6,0.88,0.78,0.01,0.87,"[0.88, 0.88]","[[0.89, 0.88], [0.88, 0.72]]","[0.89, 0.72]"
maxall4.egfr_trim_l126_s498823_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_l39g_round1_chain_a,0.88,0.77,0.02,0.87,"[0.88, 0.88]","[[0.81, 0.88], [0.88, 0.75]]","[0.81, 0.75]"
aureliabustos.bce_var702,0.93,0.78,0.03,0.92,"[0.93, 0.93]","[[0.68, 0.93], [0.93, 0.77]]","[0.68, 0.77]"
zhoup1366.dbz10___a,0.13,0.59,0.02,0.23,"[0.13, 0.13]","[[0.86, 0.13], [0.13, 0.67]]","[0.86, 0.67]"
klima.jason.8hgo_design_4yyaf_0_0,0.57,0.68,0.02,0.6,"[0.57, 0.57]","[[0.56, 0.57], [0.57, 0.72]]","[0.56, 0.72]"
chenceshi1105.steven_binder_design_l82_s44755_it100_mpnn6,0.93,0.78,0.02,0.91,"[0.93, 0.93]","[[0.82, 0.93], [0.93, 0.76]]","[0.82, 0.76]"
hughy.7om4_b_a_8_rnd2_v2_full,0.11,0.64,0.02,0.23,"[0.11, 0.11]","[[0.83, 0.11], [0.11, 0.72]]","[0.83, 0.72]"
fernando.meireles.design_hybrid_partial_diff_9_54_binder,0.38,0.63,0.02,0.44,"[0.38, 0.38]","[[0.48, 0.38], [0.38, 0.69]]","[0.48, 0.69]"
fgndd1.fg_seq1,0.87,0.77,0.02,0.85,"[0.87, 0.87]","[[0.85, 0.87], [0.87, 0.75]]","[0.85, 0.75]"
tarkhov.andrey.erithacus_rubecula_gigantus_4,0.35,0.61,0.29,0.54,"[0.35, 0.35]","[[0.1, 0.35], [0.35, 0.76]]","[0.1, 0.76]"
s1995825.cotimed_egf_netsolp_usability_6,0.86,0.74,0.03,0.85,"[0.86, 0.86]","[[0.64, 0.86], [0.86, 0.72]]","[0.64, 0.72]"
allongoldberg.4_44_0_refined,0.29,0.61,0.02,0.36,"[0.29, 0.29]","[[0.81, 0.29], [0.29, 0.68]]","[0.81, 0.68]"
alan.blakely.16_2,0.68,0.7,0.07,0.72,"[0.68, 0.68]","[[0.54, 0.68], [0.68, 0.73]]","[0.54, 0.73]"
jack.li.egfrbindingcandidate_7,0.12,0.55,0.02,0.21,"[0.12, 0.12]","[[0.56, 0.12], [0.12, 0.67]]","[0.56, 0.67]"
bronte.egfr_binder_4_91,0.23,0.67,0.02,0.32,"[0.23, 0.23]","[[0.76, 0.23], [0.23, 0.71]]","[0.76, 0.71]"
tarkhov.andrey.erithacus_rubecula_gigantus_7,0.28,0.66,0.08,0.4,"[0.28, 0.28]","[[0.21, 0.28], [0.28, 0.76]]","[0.21, 0.76]"
merlettaia.seq0v4,0.13,0.63,0.02,0.24,"[0.13, 0.13]","[[0.84, 0.13], [0.13, 0.72]]","[0.84, 0.72]"
alex.naka.venusaur,0.87,0.77,0.03,0.86,"[0.87, 0.87]","[[0.58, 0.87], [0.87, 0.77]]","[0.58, 0.77]"
antorsae.ta397unsafety_2,0.8,0.69,0.02,0.79,"[0.8, 0.8]","[[0.46, 0.8], [0.8, 0.71]]","[0.46, 0.71]"
deepsatflow.6aru_final_chain_a_domain_3_l142_s806907_mpnn1,0.91,0.78,0.02,0.89,"[0.91, 0.91]","[[0.85, 0.91], [0.91, 0.75]]","[0.85, 0.75]"
z_peplib.pepseq_design_6,0.15,0.7,0.06,0.29,"[0.15, 0.15]","[[0.17, 0.15], [0.15, 0.75]]","[0.17, 0.75]"
qilin_y.test7,0.16,0.73,0.08,0.31,"[0.16, 0.16]","[[0.19, 0.16], [0.16, 0.76]]","[0.19, 0.76]"
aureliabustos.bce_var433,0.93,0.76,0.03,0.91,"[0.93, 0.93]","[[0.68, 0.93], [0.93, 0.74]]","[0.68, 0.74]"
deepsatflow.6aru_final_chain_a_domain_3_l138_s466479_mpnn9,0.91,0.78,0.02,0.89,"[0.91, 0.91]","[[0.84, 0.91], [0.91, 0.75]]","[0.84, 0.75]"
kerrding.seq9,0.2,0.69,0.04,0.31,"[0.2, 0.2]","[[0.46, 0.2], [0.2, 0.73]]","[0.46, 0.73]"
s1995825.cotimed_egf_netsolp_usability_1,0.9,0.75,0.03,0.88,"[0.9, 0.9]","[[0.66, 0.9], [0.9, 0.74]]","[0.66, 0.74]"
joaosartori2.c6,0.83,0.79,0.04,0.84,"[0.83, 0.83]","[[0.59, 0.83], [0.83, 0.78]]","[0.59, 0.78]"
areddy.egfr_l169_s781475,0.9,0.77,0.02,0.88,"[0.9, 0.9]","[[0.82, 0.9], [0.9, 0.74]]","[0.82, 0.74]"
markus.braun.egfr_binder_7,0.93,0.79,0.01,0.91,"[0.93, 0.93]","[[0.88, 0.93], [0.93, 0.73]]","[0.88, 0.73]"
